,City,Country,Continent,Housing,Cost of Living,Business Freedom,Education
234,Tallinn, Estonia,Europe,8.3765,6.931,8.129333333,5.355
235,Tampa Bay Area, Florida,North America,5.696,5.253,8.671,4.2805
236,Tampere, Finland,Europe,6.936,4.622,9.450666667,5.3895
237,Tartu, Estonia,Europe,8.961,7.47,8.129333333,5.4035
239,Tbilisi, Georgia,Europe,9.4905,9.765,7.863333333,0.8625
240,Tehran, Iran,Asia,8.303,9.544,4.342666667,0.51
241,Tel Aviv, Israel,Asia,4.91,4.37,6.79,3.7665
242,The Hague, Netherlands,Europe,6.053,4.653,8.836666667,4.3065
243,Thessaloniki, Greece,Europe,9.3775,6.6,6.169,3.1635
244,Tokyo, Japan,Asia,5.657,3.431,8.377666667,6.9805
245,Toronto, Canada,North America,4.66,5.271,8.966,7.6025
246,Toulouse, France,Europe,7.544,4.552,8.088333333,4.442
247,Tunis, Tunisia,Africa,9.968,9.998,6.621666667,0.5
248,Turin, Italy,Europe,8.0695,5.612,6.189666667,4.1015
249,Turku, Finland,Europe,7.534,5.07,9.450666667,5.3475
250,Uppsala, Sweden,Europe,7.16,5.442,9.569,5.2045
251,Utrecht, Netherlands,Europe,5.4665,4.604,8.836666667,5.5915
252,Valencia, Spain,Europe,8.1355,6.872,7.119666667,4.266
254,Vancouver, Canada,North America,4.0805,5.259,8.966,6.889
255,Victoria, Canada,North America,5.696,5.703,8.966,5.3815
256,Vienna, Austria,Europe,6.314,5.111,7.596,4.8545
257,Vilnius, Lithuania,Europe,8.621,7.576,7.600333333,3.7
258,Warsaw, Poland,Europe,7.8695,8.192,5.704333333,4.6685
259,Washington, District of Columbia,North America,1.2105,3.595,8.671,5.9685
260,Wellington, New Zealand,Oceania,5.1345,5.161,10.0,4.756
261,Winnipeg, Canada,North America,7.5525,5.882,8.966,5.344
262,Wroclaw, Poland,Europe,8.452,8.434,5.704333333,4.1615
264,Zagreb, Croatia,Europe,8.91,7.194,5.720333333,3.211
265,Zurich, Switzerland,Europe,1.473,1.0,8.888,7.2875
