City,Country,Continent,Housing,Cost of Living,Business Freedom,Education
Aarhus, Denmark,Europe,6.1315,4.015,9.94,5.3665
Adelaide, Australia,Oceania,6.3095,4.692,9.399666667,5.142
Albuquerque, New Mexico,North America,7.262,6.059,8.671,4.152
Almaty, Kazakhstan,Asia,9.282,9.333,5.568,2.283
Amsterdam, Netherlands,Europe,3.053,3.824,8.836666667,6.18
Anchorage, Alaska,North America,5.4335,3.141,8.671,3.6245
Ankara, Turkey,Asia,9.928,9.125,5.948333333,2.0285
Asheville, North Carolina,North America,5.856,5.311,8.671,3.6245
Athens, Greece,Europe,9.0525,6.5,6.169,3.1625
Atlanta, Georgia,North America,4.9755,5.241,8.671,6.457
Auckland, New Zealand,Oceania,4.72,4.47,10.0,5.0465
Austin, Texas,North America,4.3345,5.355,8.671,5.315
Baltimore, Maryland,North America,4.83,4.982,5.502,5.8805
Bangkok, Thailand,Asia,7.3935,7.222,5.603666667,1.6915
Barcelona, Spain,Europe,6.323,6.074,7.119666667,5.029
Beijing, China,Asia,6.173,8.101,3.815333333,7.971
Beirut, Lebanon,Asia,6.6555,6.3,4.329,1.0035
Belfast, United Kingdom,Europe,7.532,6.014,8.992,4.6865
Belgrade, Serbia,Europe,9.2575,8.546,5.384,0.5
Bengaluru, India,Asia,9.811,10.0,3.618,0.656
Bergen, Norway,Europe,5.2295,1.805,9.635333333,4.8395
Berlin, Germany,Europe,6.395,5.524,9.072333333,7.019
Bern, Switzerland,Europe,4.9225,1.0,8.888,5.3455
Bilbao, Spain,Europe,6.888,5.638,7.119666667,3.759
Birmingham, United Kingdom,Europe,5.9035,5.814,8.992,5.0265
Birmingham, Alabama,North America,6.5555,5.133,8.671,3.6245
Bogota, Colombia,South America,9.0275,9.08,6.348666667,1.534
Boise, Idaho,North America,6.9635,6.578,8.671,3.6245
Bologna, Italy,Europe,7.472,5.189,6.189666667,4.2025
Bordeaux, France,Europe,7.1915,4.583,8.088333333,4.442
Boston, Massachusetts,North America,1.0,4.259,8.671,8.6245
Boulder, Colorado,North America,3.704,4.531,8.671,4.679
Bratislava, Slovakia,Europe,7.8745,7.618,6.188666667,3.2975
Brighton, United Kingdom,Europe,2.49,5.324,8.992,4.906
Brisbane, Australia,Oceania,5.212,5.177,9.399666667,5.921
Bristol, United Kingdom,Europe,5.216,5.242,8.992,5.4615
Brno, Czechia,Europe,8.329,7.926,6.212666667,4.2265
Brussels, Belgium,Europe,6.355,4.477,8.877,6.653
Bucharest, Romania,Europe,9.1865,8.516,5.681666667,2.4475
Budapest, Hungary,Europe,8.5705,7.948,6.708,3.693
Buenos Aires, Argentina,South America,8.812,7.764,4.045333333,1.422
Buffalo, New York,North America,7.0765,5.228,8.671,4.212
Cairo, Egypt,Africa,10.0,10.0,5.790666667,0.5
Calgary, Canada,North America,6.495,5.418,8.966,5.555
Cambridge, United Kingdom,Europe,4.1055,4.851,8.992,6.5545
Cape Town, South Africa,Africa,6.7635,7.955,4.732,0.8945
Cardiff, United Kingdom,Europe,7.065,6.082,8.992,4.7855
Charleston, South Carolina,North America,4.637,3.567,8.671,3.6245
Charlotte, North Carolina,North America,5.549,4.987,8.671,3.6245
Chattanooga, Tennessee,North America,6.782,6.121,8.671,3.6245
Chennai, India,Asia,10.0,10.0,3.618,0.5115
Chiang Mai, Thailand,Asia,9.3725,8.495,5.603666667,1.6875
Chicago, Illinois,North America,3.702,4.766,8.671,7.999
Chisinau, Moldova,Europe,9.6765,9.343,5.443333333,1.3995
Christchurch, New Zealand,Oceania,6.934,5.096,10.0,4.756
Cincinnati, Ohio,North America,6.6775,6.108,8.671,4.2805
Cleveland, Ohio,North America,7.156,5.595,8.671,4.6185
Cluj-Napoca, Romania,Europe,9.165,8.794,5.681666667,2.448
Cologne, Germany,Europe,6.5265,5.607,9.072333333,5.1035
Colorado Springs, Colorado,North America,6.4995,5.375,8.671,3.6245
Columbus, Ohio,North America,6.2895,5.746,8.671,5.0475
Copenhagen, Denmark,Europe,4.227,3.426,9.94,5.301
Cork, Ireland,Europe,5.5145,4.902,8.345666667,4.879
Curitiba, Brazil,South America,9.4295,8.433,2.781,1.0165
Dallas, Texas,North America,5.259,6.091,8.671,4.284
Delhi, India,Asia,9.752,9.869,3.618,0.512
Denver, Colorado,North America,3.8375,5.102,8.671,3.6245
Des Moines, Iowa,North America,6.851,6.327,8.671,3.6245
Detroit, Michigan,North America,6.223,6.032,8.671,5.8185
Doha, Qatar,Asia,2.1315,6.183,7.408333333,1.4335
Dresden, Germany,Europe,7.8845,6.028,9.072333333,5.1245
Dubai, United Arab Emirates,Asia,2.591,5.49,8.037,2.28
Dublin, Ireland,Europe,2.5125,4.005,8.345666667,5.6065
Dusseldorf, Germany,Europe,6.282,5.134,9.072333333,4.3065
Edinburgh, United Kingdom,Europe,5.845,5.114,8.992,6.0925
Edmonton, Canada,North America,6.7295,5.522,8.966,5.948
Eindhoven, Netherlands,Europe,6.252,5.125,8.836666667,5.0805
Eugene, Oregon,North America,6.713,5.021,8.671,4.1735
Florence, Italy,Europe,6.775,4.649,6.189666667,4.058
Florianopolis, Brazil,South America,9.0595,8.331,2.781,1.0165
Frankfurt, Germany,Europe,5.957,5.143,9.072333333,5.2065
Galway, Ireland,Europe,6.2755,4.927,8.345666667,5.0075
Gdansk, Poland,Europe,8.508,8.127,5.704333333,4.6615
Geneva, Switzerland,Europe,1.0775,1.0,8.888,5.186
Glasgow, United Kingdom,Europe,6.9285,5.623,8.992,5.3065
Gothenburg, Sweden,Europe,6.725,5.046,9.569,4.7775
Grenoble, France,Europe,7.505,4.317,8.088333333,4.549
Guadalajara, Mexico,North America,9.527,9.49,5.765,1.2095
Halifax, Canada,North America,6.895,4.943,8.966,5.42
Hamburg, Germany,Europe,5.9445,4.904,9.072333333,4.3065
Hannover, Germany,Europe,7.754,6.0,9.072333333,4.834
Helsinki, Finland,Europe,5.396,4.121,9.450666667,5.4545
Ho Chi Minh City, Vietnam,Asia,8.618,8.844,4.101666667,4.1165
Hong Kong, Hong Kong,Asia,1.0,4.967,9.294333333,9.711
Honolulu, Hawaii,North America,2.3415,2.867,8.671,4.2805
Houston, Texas,North America,5.2245,6.162,8.671,4.928
Indianapolis, Indiana,North America,6.266,5.478,8.671,3.6245
Innsbruck, Austria,Europe,6.708,4.732,7.596,4.33
Istanbul, Turkey,Asia,9.1375,8.787,5.948333333,2.1525
Jacksonville, Florida,North America,6.45,5.359,8.671,3.6245
Jakarta, Indonesia,Asia,8.671,8.471,4.028666667,1.0275
Johannesburg, South Africa,Africa,8.012,7.575,4.732,0.7585
Kansas City, Missouri,North America,6.7075,5.844,8.671,3.6245
Karlsruhe, Germany,Europe,7.7645,5.294,9.072333333,5.2075
Kiev, Ukraine,Europe,9.0845,9.817,4.525333333,0.5
Knoxville, Tennessee,North America,6.9755,6.447,8.671,4.212
Krakow, Poland,Europe,8.4245,8.509,5.704333333,4.6625
Kuala Lumpur, Malaysia,Asia,8.6635,8.238,7.597333333,2.527
Las Palmas de Gran Canaria, Spain,Europe,8.232,7.717,7.119666667,3.759
Las Vegas, Nevada,North America,7.001,5.759,8.671,3.6245
Lausanne, Switzerland,Europe,4.0755,1.0,8.888,6.622
Leeds, United Kingdom,Europe,6.811,5.363,8.992,4.9825
Leipzig, Germany,Europe,8.177,5.911,9.072333333,4.3065
Lille, France,Europe,7.532,5.399,8.088333333,4.3935
Lima, Peru,South America,8.712,8.496,5.001666667,0.5
Lisbon, Portugal,Europe,6.734,7.004,8.238666667,4.48
Liverpool, United Kingdom,Europe,7.485,6.02,8.992,4.872
Ljubljana, Slovenia,Europe,8.214,6.749,7.676666667,4.852
London, United Kingdom,Europe,1.0,3.94,8.992,9.027
Los Angeles, California,North America,1.5275,4.556,8.574666667,8.6245
Louisville, Kentucky,North America,7.258,6.358,8.671,3.6245
Luxembourg, Luxembourg,Europe,2.453,3.411,7.856666667,3.4795
Lyon, France,Europe,6.697,4.349,8.088333333,4.5805
Madison, Wisconsin,North America,5.8295,6.173,8.671,5.386
Madrid, Spain,Europe,6.414,6.249,7.119666667,4.2915
Malaga, Spain,Europe,8.0515,7.375,7.119666667,3.759
Malmo, Sweden,Europe,7.263,5.57,9.569,3.893
Manchester, United Kingdom,Europe,6.4555,5.049,8.992,5.652
Marseille, France,Europe,7.5885,6.026,8.088333333,4.442
Medellin, Colombia,South America,9.2315,9.315,6.348666667,1.531
Melbourne, Australia,Oceania,4.83,4.798,9.399666667,6.2205
Memphis, Tennessee,North America,7.1145,5.829,8.671,3.6245
